id,title,description,category,tech_stack,difficulty,screenshot,thumbnail,source_code,playable,url,date_created,featured
1,Number Guessing Game,Simple game where you guess a random number between 1-100,Basic Python,"Python, Random",Beginner,,,,0,,2024-01-15,1
2,Math Quiz Game,"Educational quiz game testing addition, subtraction, multiplication",Basic Python,"Python, Random",Beginner,,,,0,,2024-01-20,1
3,Rock-Paper-Scissors,Classic game against computer with score tracking,Basic Python,"Python, Random",Beginner,,,,0,,2024-02-01,0
4,Word Scramble Game,Unscramble words within time limit,Basic Python,"Python, Random, Time",Intermediate,,,,0,,2024-02-10,0
5,Simple Login System,User registration and login with password validation,Basic Python,"Python, File I/O",Intermediate,,,,0,,2024-02-15,0
6,Flappy Bird Clone,Side-scrolling game with gravity physics,Pygame,"Python, Pygame",Advanced,,,,0,,2024-03-01,1
7,Snake Game,Classic snake game with collision detection,Pygame,"Python, Pygame",Intermediate,,,,0,,2024-03-10,1
8,Pong Game,Two-player paddle game,Pygame,"Python, Pygame",Intermediate,,,,0,,2024-03-20,0
9,Platformer Game,Side-scrolling platform game with jumping,Pygame,"Python, Pygame, Physics",Advanced,,,,0,,2024-04-01,0
10,Space Shooter,Vertical scrolling shooter game,Pygame,"Python, Pygame, Sprites",Advanced,,,,0,,2024-04-15,0
11,Digital Clock,Real-time digital clock with date display,Tkinter,"Python, Tkinter, Datetime",Beginner,,,,0,,2024-05-01,0
12,Color Matching Game,Match color names with actual colors,Tkinter,"Python, Tkinter, Random",Intermediate,,,,0,,2024-05-10,1
13,Quiz Application,Multiple choice quiz with score tracking,Tkinter,"Python, Tkinter, JSON",Intermediate,,,,0,,2024-05-20,0
14,Personal Portfolio Website,Static HTML/CSS personal website,HTML/CSS,"HTML, CSS, Flexbox",Beginner,,,,0,,2024-06-01,0
15,Landing Page,Modern responsive landing page design,HTML/CSS,"HTML, CSS, Grid, Media Queries",Intermediate,,,,0,,2024-06-15,0
